date,price/barrel(42 gal),percentChange,change
2013-04-01T00:00:00,93.46,-3.877404093,-3.77
2013-03-01T00:00:00,97.23,5.627376426,5.18
2013-02-01T00:00:00,92.05,-5.580059493,-5.44
2013-01-02T00:00:00,97.49,6.175125245,5.67
2012-12-03T00:00:00,91.82,3.272972669,2.91
2012-11-01T00:00:00,88.91,3.096011132,2.67
2012-10-01T00:00:00,86.24,-6.454062263,-5.95
2012-09-04T00:00:00,92.19,-4.436612418,-4.28
2012-08-01T00:00:00,96.47,9.550306609,8.41
2012-07-02T00:00:00,88.06,3.648775895,3.1
2012-06-01T00:00:00,84.96,-1.81439963,-1.57
2012-05-01T00:00:00,86.53,-17.48831887,-18.34
2012-04-02T00:00:00,104.87,1.795767812,1.85
2012-03-01T00:00:00,103.02,-3.782572149,-4.05
2012-02-01T00:00:00,107.07,8.722583266,8.59
2012-01-03T00:00:00,98.48,-0.354143479,-0.35
